Year,NAME,Home Value <$50k (%),"Home Value $50k-$99,999k (%)","Home Value $100k-$299,999 (%)","Home Value $300k-$499,999k (%)","Home Value $500k-$749,999k (%)","Home Value $750k-$999,999k (%)","Home Value $1,000,000+ (%)",Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2018,Alaska,1.3,2.4,49.0,36.6,8.2,1.8,0.7,292.6,7.0,2.1,4.9,0.6,92.4,1.5,4.4,3.0,5.6,16.1,15.2,27.6,26.6,105.294,1895,3590,4,735139,-4561,-10220,-13.85913988
2018,Maine,3.4,9.1,62.4,18.8,4.1,1.1,1.0,208.3,15.3,1.2,14.1,0.3,84.4,2.0,5.7,5.5,11.3,20.1,18.4,22.2,14.8,81.392,1349,2714,1,1339057,4445,6642,4.968453462
2018,North Carolina,2.9,11.7,58.1,19.0,5.4,1.8,1.2,199.6,13.3,1.9,11.4,0.3,86.3,2.1,6.5,6.0,11.4,19.0,16.5,20.6,17.9,81.50399999999999,1284,1625,3,10381615,113382,86828,8.409553426
2018,Missouri,4.9,15.4,60.7,13.7,3.5,1.0,0.8,170.8,10.0,1.9,8.2,0.2,89.8,1.9,5.5,6.2,11.3,19.5,17.1,21.5,16.9,81.877,1249,1710,2,6121623,14953,3058,0.500151575
2018,Pennsylvania,3.4,11.9,57.6,19.2,5.5,1.4,1.0,202.0,15.4,2.0,13.5,0.4,84.1,1.9,5.3,4.9,9.3,17.9,16.5,23.0,21.2,90.755,1451,3189,1,12800922,13281,10944,0.8553821490000001
2018,Michigan,5.3,14.7,59.2,15.4,3.6,1.0,0.7,175.4,11.8,2.0,9.8,0.3,87.8,1.9,5.7,5.9,10.9,19.5,16.9,21.7,17.5,83.258,1270,2574,2,9984072,10958,-2994,-0.300042301
2018,Nebraska,4.0,12.9,65.1,14.3,2.5,0.7,0.6,172.5,10.4,2.8,7.6,0.5,89.2,1.4,4.3,4.6,8.7,19.1,18.1,26.2,17.5,90.685,1353,2903,2,1925614,9667,-54,-0.028113572000000003
2018,Oregon,1.5,1.5,33.5,40.7,16.6,4.1,2.0,355.8,12.8,2.1,10.7,0.5,86.7,1.3,5.0,5.0,9.3,17.7,16.5,22.4,22.7,91.51700000000001,1690,3265,4,4181886,38261,31019,7.451554625
2018,Wyoming,2.6,3.7,63.2,21.8,4.8,2.5,1.5,240.1,8.8,3.4,5.4,0.4,90.8,1.4,4.7,5.0,10.1,18.4,19.4,25.6,15.4,88.588,1440,1406,4,577601,-1330,-3311,-5.725738674
2018,California,1.0,1.0,14.1,27.1,25.7,13.5,17.6,566.1,12.9,2.6,10.3,0.6,86.6,2.0,4.1,3.7,6.6,13.3,13.2,22.1,34.9,113.027,2345,4479,4,39461588,103091,-83981,-2.130954312
2018,Mississippi,8.1,21.2,59.8,8.4,1.6,0.4,0.4,151.2,7.6,2.0,5.5,0.4,92.0,3.6,8.2,7.2,11.6,21.3,17.6,17.9,12.5,72.006,1132,1225,3,2981020,-7490,-12762,-4.275713498
2018,Connecticut,1.4,2.7,50.8,28.5,8.5,3.5,4.5,281.3,16.6,3.7,12.9,0.5,82.9,1.4,3.4,3.0,6.3,14.1,13.5,24.2,34.1,114.13,2056,5985,1,3571520,-1777,-5478,-1.53341926
2018,Texas,3.4,10.2,56.6,20.4,6.1,1.8,1.6,216.7,4.9,1.7,3.3,0.2,94.9,1.9,5.0,4.9,8.5,16.7,15.2,22.8,25.0,95.822,1603,4008,3,28628666,333393,155073,5.448428297
2018,Idaho,2.2,4.9,58.7,26.8,4.9,1.5,1.1,243.8,11.0,2.9,8.2,0.2,88.8,1.9,6.8,5.8,12.3,22.7,16.8,20.3,13.3,75.554,1249,1538,4,1750536,32821,24142,13.92171443
2018,Maryland,1.8,2.5,38.8,35.8,14.2,3.9,3.0,331.6,14.9,2.8,12.2,0.5,84.6,1.4,3.3,3.1,6.6,13.0,14.1,24.0,34.5,115.28299999999999,1955,3530,3,6035802,11934,-8544,-1.416954195
2018,New Mexico,4.1,8.4,65.5,15.5,4.1,1.4,1.0,193.3,9.2,3.2,6.0,0.1,90.7,3.4,8.8,7.7,12.3,19.5,15.9,19.1,13.2,72.54899999999999,1234,1561,4,2092741,957,-3807,-1.81956136
2018,Alabama,5.7,18.3,58.9,12.9,2.8,1.1,0.5,164.2,10.3,2.5,7.8,0.3,89.4,3.0,7.7,6.8,10.7,19.3,17.1,20.5,14.9,78.432,1164,692,3,4887681,13195,8658,1.773786496
2018,Tennessee,3.6,13.1,58.6,17.2,4.8,1.6,1.2,192.6,9.4,1.5,7.9,0.3,90.3,2.3,6.8,6.6,11.2,20.2,17.0,20.6,15.4,78.71300000000001,1228,1319,3,6771631,62832,50847,7.5438246410000005
2018,Vermont,1.9,4.4,62.7,23.5,4.8,1.5,1.3,239.0,14.6,1.4,13.2,0.6,84.8,2.0,5.4,5.2,10.0,18.8,18.2,25.1,15.3,87.47200000000001,1560,4366,1,624358,14,275,0.44045737100000004
2018,Nevada,1.8,1.7,46.2,37.5,9.1,2.0,1.8,301.1,8.0,2.2,5.8,0.4,91.6,2.2,5.8,5.5,10.4,18.0,17.1,22.2,18.9,86.294,1528,1707,4,3027341,57436,46658,15.55980862
2018,West Virginia,6.6,23.3,57.6,10.0,1.7,0.4,0.3,147.1,9.4,1.2,8.1,0.4,90.2,2.7,8.7,8.3,13.4,20.8,14.6,20.1,11.3,70.059,1001,870,3,1804291,-12713,-8119,-4.484031265
2018,Oklahoma,5.3,19.2,60.5,10.7,2.5,0.9,0.9,156.0,6.2,2.0,4.1,0.2,93.6,2.1,6.3,6.1,11.1,20.0,17.8,21.2,15.3,80.38600000000001,1214,1470,3,3940235,8919,-55,-0.013974374
2018,Wisconsin,2.4,10.7,64.1,17.5,3.5,1.0,0.7,195.9,15.7,2.9,12.8,0.5,83.8,1.4,4.9,5.0,9.6,19.3,18.3,24.8,16.7,87.899,1387,3368,2,5807406,17220,4425,0.763089441
2018,Puerto Rico,1.9,23.3,69.4,3.7,1.1,0.3,0.4,130.6,2.4,1.8,0.6,0.3,97.3,8.2,22.0,13.5,19.3,18.7,8.0,6.2,4.0,39.275,851,718,X,3193354,-131932,-123399,-37.86035124
2018,Kansas,5.0,17.3,57.8,14.9,3.2,1.2,0.7,173.8,9.4,2.0,7.3,0.2,90.4,1.4,4.6,5.2,9.9,19.9,18.0,22.5,18.3,86.395,1364,2395,2,2911359,2641,-7511,-2.581065508
2018,Virginia,1.8,4.6,43.2,28.0,14.1,5.3,3.0,302.7,14.5,3.0,11.5,0.3,85.2,1.7,4.5,3.7,7.6,15.0,14.9,22.5,30.2,104.322,1752,2509,3,8501286,37699,6673,0.786684345
2018,North Dakota,4.0,7.5,61.2,20.3,4.8,1.7,0.4,226.0,9.8,1.7,8.1,0.4,89.8,1.1,2.3,3.4,7.5,18.3,18.9,29.2,19.2,97.677,1425,2325,2,758080,3138,-1295,-1.711805909
2018,New Jersey,1.4,1.8,35.7,35.0,16.5,5.6,3.9,352.7,13.9,1.8,12.2,0.5,85.6,1.4,3.3,3.1,5.6,12.3,12.9,23.6,37.7,121.64200000000001,2398,8521,1,8886025,500,-24811,-2.792215648
2018,Ohio,4.1,18.7,61.1,12.3,2.7,0.6,0.4,160.8,14.5,2.3,12.3,0.4,85.0,1.8,5.6,5.8,10.7,19.3,17.5,22.6,16.8,83.62899999999999,1248,2518,2,11676341,16691,956,0.081933525
2018,South Carolina,4.8,12.1,58.3,16.6,5.4,1.4,1.4,194.1,10.1,1.5,8.6,0.3,89.6,2.6,7.2,7.1,11.1,20.2,16.5,19.4,16.0,77.141,1225,1106,3,5084156,62888,56397,11.16172859
2018,Georgia,3.4,10.4,57.3,19.6,6.2,1.8,1.4,208.8,9.7,2.4,7.3,0.3,90.0,2.7,5.7,5.6,9.5,17.6,15.6,21.6,21.6,88.772,1395,1970,3,10511131,100801,56844,5.434037327
2018,Colorado,1.4,1.8,27.4,41.6,18.5,5.7,3.5,383.4,13.0,2.5,10.4,0.3,86.8,1.8,3.8,4.3,7.8,15.6,15.8,24.1,26.9,101.056,1741,1896,4,5691287,79402,53185,9.410632697
2018,Hawaii,0.7,0.9,7.7,22.6,31.5,20.4,16.2,643.1,19.4,2.0,17.4,0.8,79.9,2.1,2.4,3.3,7.1,13.1,13.4,26.1,32.5,113.39,2354,1807,4,1420593,-3800,-8498,-5.974018853
2018,South Dakota,4.9,11.0,63.3,16.3,3.2,0.8,0.6,188.8,9.6,1.7,7.9,0.4,90.0,0.8,3.5,5.8,11.2,19.8,23.5,23.1,12.4,83.662,1301,2350,2,878698,5830,1178,1.345082058
2018,Indiana,4.5,20.1,60.9,10.9,2.5,0.7,0.4,153.8,11.7,1.7,9.9,0.4,88.0,1.9,6.4,6.4,11.4,20.8,18.3,21.3,13.5,78.796,1118,1273,2,6695497,37419,19003,2.84612922
2018,Kentucky,4.9,17.0,61.4,12.3,2.9,0.8,0.6,162.8,13.7,2.6,11.1,0.4,85.9,2.7,7.0,7.2,11.6,19.8,16.7,21.1,14.0,77.34,1164,1418,3,4461153,8885,1121,0.25153081
2018,Louisiana,4.4,11.9,63.3,15.2,3.4,0.9,0.9,184.9,8.0,2.3,5.7,0.3,91.7,2.7,7.7,6.6,9.8,17.8,16.3,21.9,17.1,81.863,1254,1107,3,4659690,-10870,-24483,-5.248090887
2018,Washington,1.3,1.4,29.8,35.2,17.2,8.5,6.6,385.0,12.2,2.2,10.0,0.3,87.4,1.5,3.6,3.6,7.5,15.2,15.5,24.3,28.8,104.432,1883,3659,4,7523869,100507,70762,9.468241977
2018,Illinois,3.2,11.7,54.0,20.5,6.6,2.1,2.0,219.4,12.0,2.0,10.0,0.4,87.6,1.8,4.7,4.8,8.4,16.7,15.4,23.0,25.2,96.714,1665,4900,2,12723071,-55757,-93439,-7.328003299
2018,Iowa,4.5,18.9,60.4,13.2,2.3,0.4,0.3,160.7,12.9,3.2,9.8,0.6,86.5,1.5,5.4,5.6,10.2,19.8,19.0,23.5,15.0,83.99799999999999,1234,2527,2,3148618,7068,-2064,-0.6562622810000001
2018,New Hampshire,1.7,2.7,52.4,33.4,7.0,1.7,1.3,278.6,13.6,1.7,11.9,0.3,86.1,1.3,3.3,4.3,6.6,14.4,16.0,27.4,26.6,105.339,1892,5841,1,1353465,4678,5076,3.756866495
2018,Rhode Island,1.6,1.7,55.2,30.9,6.5,2.3,1.9,274.2,15.4,2.6,12.8,0.5,84.2,1.2,4.2,4.7,7.7,16.9,16.1,25.2,24.0,98.266,1830,4361,1,1058287,2614,1884,1.7824367540000001
2018,Arkansas,6.3,21.7,58.1,10.3,1.9,1.0,0.7,148.3,6.7,2.0,4.7,0.1,93.2,2.9,8.2,7.4,12.6,20.0,15.2,19.9,13.8,73.52199999999999,1071,935,3,3009733,8388,2882,0.958896225
2018,Delaware,1.6,2.9,54.6,32.2,5.4,1.8,1.5,267.0,12.4,2.2,10.2,0.3,87.3,2.4,6.2,4.8,8.9,19.4,15.6,22.5,20.3,87.16799999999999,1566,1632,3,965479,8656,7335,7.631475179
2018,Minnesota,2.2,5.3,58.3,25.0,6.5,1.7,1.1,244.8,14.5,3.3,11.2,0.5,85.0,1.3,3.6,4.0,8.6,16.2,17.1,25.8,23.5,98.831,1559,2639,2,5606249,40019,15822,2.8323168030000003
2018,Montana,3.1,4.5,52.9,26.8,8.6,2.3,1.8,262.4,9.7,2.1,7.6,0.6,89.7,1.8,6.6,5.8,11.6,21.9,17.7,20.2,14.4,77.282,1413,2172,4,1060665,8183,6284,5.94752755
2018,Arizona,2.5,4.1,55.8,26.2,7.4,2.2,1.8,256.6,9.4,1.7,7.6,0.4,90.2,2.3,5.9,5.5,10.4,19.1,16.3,21.2,19.3,84.62799999999999,1417,1591,4,7158024,114016,92050,12.96293376
2018,Florida,2.6,6.4,55.1,24.6,6.8,2.3,2.3,247.0,10.5,2.0,8.5,0.4,89.1,2.8,7.3,6.4,11.2,18.5,15.6,19.8,18.4,80.372,1471,2151,3,21244317,280704,267130,12.65781099
2018,Massachusetts,1.0,0.8,26.7,36.2,21.5,7.5,6.4,406.9,18.1,2.3,15.8,0.5,81.5,1.3,3.1,3.1,5.5,13.0,13.0,23.6,37.3,121.565,2207,4801,1,6882635,22846,11129,1.619656037
2018,District of Columbia,0.8,0.6,8.9,27.1,24.9,18.4,19.4,627.0,15.6,3.3,12.3,0.2,84.2,2.2,2.8,1.9,2.9,9.0,10.2,20.3,50.6,151.14700000000002,2506,3691,3,701547,6641,2431,3.4816782230000003
2018,Utah,1.9,1.2,44.5,37.5,10.4,2.8,1.7,310.0,14.7,3.7,11.0,0.6,84.7,1.0,3.7,4.3,8.1,19.1,18.3,26.2,19.3,93.06,1531,1788,4,3153550,52508,21841,6.983988724
2018,New York,2.2,8.0,34.6,23.8,15.9,7.5,8.0,341.9,13.8,1.5,12.2,0.4,85.8,1.7,4.2,3.9,6.8,14.3,14.2,23.3,31.6,108.546,2098,5837,1,19530351,-59221,-125303,-6.406096454
